display  D   display_settings.c:400  _al_score_display_settings       [   0.02167] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02170] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02172] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02174] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02177] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02179] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02182] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02184] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02187] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02189] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02192] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02194] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02197] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02199] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02202] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02205] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02207] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02210] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02212] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02215] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02217] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02219] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02222] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02224] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02229] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02232] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02234] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02237] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02239] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02241] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02246] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02249] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02251] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02253] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02256] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02261] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02263] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02266] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02268] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02271] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02278] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02280] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02283] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02285] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02290] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02293] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02295] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02297] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02302] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02305] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02307] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02310] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02312] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02315] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02317] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02320] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02322] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02324] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02327] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02329] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02332] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02334] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02336] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02341] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02344] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02346] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02353] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02357] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02359] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
